geoName,glaucoma,cataract,diabetic retinopathy,macular degeneration,uveitis
Alabama,24,0,0,76,0
Alaska,100,0,0,0,0
Arizona,33,67,0,0,0
Arkansas,0,0,0,0,0
California,41,17,0,37,5
Colorado,49,0,0,51,0
Connecticut,40,20,0,21,19
Delaware,100,0,0,0,0
District of Columbia,0,32,0,68,0
Florida,67,0,0,17,16
Georgia,60,0,40,0,0
Hawaii,100,0,0,0,0
Idaho,100,0,0,0,0
Illinois,71,14,0,15,0
Indiana,100,0,0,0,0
Iowa,0,0,0,0,0
Kansas,100,0,0,0,0
Kentucky,0,0,0,0,0
Louisiana,0,0,0,0,100
Maine,0,0,0,0,0
Maryland,20,80,0,0,0
Massachusetts,50,13,12,13,12
Michigan,50,25,0,0,25
Minnesota,50,50,0,0,0
Mississippi,0,0,0,100,0
Missouri,0,0,0,100,0
Montana,0,0,0,0,0
Nebraska,0,0,0,0,0
Nevada,0,0,0,0,0
New Hampshire,0,0,0,0,0
New Jersey,72,14,0,0,14
New Mexico,0,0,0,0,0
New York,57,14,0,15,14
North Carolina,57,14,0,15,14
North Dakota,0,0,0,0,0
Ohio,67,33,0,0,0
Oklahoma,0,100,0,0,0
Oregon,100,0,0,0,0
Pennsylvania,50,30,0,10,10
Rhode Island,0,0,0,0,0
South Carolina,0,0,0,100,0
South Dakota,49,0,0,51,0
Tennessee,0,0,0,0,0
Texas,25,25,0,26,24
Utah,0,0,0,0,0
Vermont,0,0,0,0,0
Virginia,0,0,0,100,0
Washington,50,0,24,26,0
West Virginia,0,0,0,0,0
Wisconsin,100,0,0,0,0
Wyoming,0,100,0,0,0
